A total of %1 record(s) were deleted.","I alt %1 post(er) blev slettet."
"Invalid request","Ugyldig anmodning"
"An error occurred during request to Vipps MobilePay. Please try again later.","Der opstod en fejl under anmodningen til MobilePay. Prøv igen senere."
"An error occurred during payment status update.","Der opstod en fejl under opdatering af betalingsstatus."
"Your order was cancelled in Vipps MobilePay.","Din ordre blev annulleret i MobilePay."
"An error occurred during Shipping Details processing.","Der opstod en fejl under behandling af forsendelsesdetaljer."
"Can't cancel captured transaction.","Kan ikke annullere en allerede trukket transaktion."
"Captured amount is higher then remaining amount to capture","Det trukne beløb er højere end det resterende beløb, der kan trækkes"
"Transaction validation failed.","Transaktionsvalidering mislykkedes."
"Refund amount is higher then remaining amount to refund","Refunderingsbeløbet er højere end det resterende beløb, der kan refunderes"
"Couldn't process this request. Please try again later or contact a store administrator.","Kunne ikke behandle denne anmodning. Prøv igen senere eller kontakt en butikksadministrator."
"Thank you for shopping at %1.","Tak for dit køb hos %1."
"Thank you for shopping.","Tak for dit køb."
"Gateway response error. Incorrect transaction data.","Gatewayfejl. Forkerte transaktionsdata."
"Gateway response error. Incorrect initiate payment parameters.","Gatewayfejl. Forkerte parametre for initiering af betaling."
"Gateway response error. Order Id is incorrect","Gatewayfejl. Ordre-id er forkert"
"Can't retrieve access token from Vipps MobilePay.","Kan ikke hente access token fra MobilePay."
"Refreshed Jwt data.","Opdaterede JWT-data."
"MobilePay payment method does not support Capture Offline","MobilePay betalingsmetode understøtter ikke Capture Offline"
"MobilePay payment method does not support Refund Offline","MobilePay betalingsmetode understøtter ikke Refund Offline"
"Can't initiate payment","Kan ikke initialisere betaling"
"Some error phrase here","Fejlfrase her"
"Show","Vis"
"Created At","Oprettet den"
"You will be redirected to the Vipps MobilePay website.","Du vil blive viderestillet til MobilePay-webstedet."
"Almost done! Remember there are no fees using MobilePay when shopping online.","Næsten færdig! Husk, der er ingen gebyrer ved brug af MobilePay ved online-shopping."
"Continue to Vipps MobilePay","Fortsæt til MobilePay"
"Vipps MobilePay Payment","MobilePay-betaling"
"Enable this Solution","Aktivér denne løsning"
"Basic Vipps MobilePay Settings","Grundlæggende MobilePay-indstillinger"
"Environment","Miljø"
"Express Checkout","Ekspres-checkout"
"Enable Express Checkout","Aktivér Ekspres-checkout"
"Advanced Settings","Avancerede indstillinger"
"Display on Shopping Cart","Vis i indkøbskurv"
"Delete","Slet"
"Delete items","Slet poster"
"Are you sure to delete selected records?","Er du sikker på, at du vil slette de valgte poster?"
"Quote Monitoring","Quote Monitoring"
"Requests Profiling","Anmodningsprofiler"
"Invalid request parameters","Ugyldige anmodningsparametre"
"Express Payment method is not available.","Ekspres-betalingsmetoden er ikke tilgængelig."
"Couldn't get information about order status right now. Please contact a store administrator.","Kunne ikke hente oplysninger om ordrestatus lige nu. Kontakt venligst en butikksadministrator."
"Requested quote not found","Requested quote not found"
"Max number of attempts reached (%1)","Maksimalt antal forsøg nået (%1)"
"An error occurred during capture info sync.","Der opstod en fejl under synkronisering af trækningsoplysninger."
